postcode_district,count.of.rents,mean,lower.quartile,median,upper.quartile
W1T,20,2978,2318,2698,3142
W1U,100,3222,2600,3023,3467
W1W,20,3533,2871,3575,4214
W2,220,2780,2145,2708,3358
W3,150,1538,1400,1517,1650
W4,100,1731,1508,1650,1828
W5,440,1628,1400,1500,1750
W6,160,2136,1647,1842,2383
W7,60,1362,1300,1350,1450
W8,120,3513,2492,3012,3683
W9,190,2099,1727,1950,2362
WC1B,10,2584,2266,2370,2968
WC1E,60,2496,2210,2470,2847
WC1H,10,2385,1817,2320,2817
WC1N,10,2108,1950,2232,2275
WC1R,10,2166,1863,2150,2514
WC1X,30,2433,2123,2383,2665
WC2H,10,3089,2383,3348,3500
WC2R,10,5677,5633,5633,6067
