Local_Authority,OA_code,NSSEC_tot,NSSEC_1HigherManProf,NSSEC_2LowerManProf,NSSEC_3Intermediate,NSSEC_4SmallAccount,NSSEC_5LowerSupTech,NSSEC_6SemiRoutine,NSSEC_7Routine,NSSEC_8NoneUnemp,NSSEC_9UnClassif
Blackburn with Darwen,E00063522,483,103,112,41,77,83,42,20,5,0
Blackburn with Darwen,E00063523,300,32,73,42,33,38,44,31,2,5
Blackburn with Darwen,E00063525,465,21,131,44,22,52,68,95,12,20
Blackburn with Darwen,E00063526,474,118,120,32,41,47,21,63,25,7
Blackburn with Darwen,E00063527,388,9,27,14,1,46,87,134,68,2
Blackburn with Darwen,E00063528,319,15,32,30,31,35,73,72,25,6
Blackburn with Darwen,E00063529,222,7,55,29,33,23,33,38,1,3
Blackburn with Darwen,E00063530,239,12,66,19,14,29,51,44,0,4
Blackburn with Darwen,E00063531,295,7,53,26,16,39,68,69,12,5
Blackburn with Darwen,E00063532,317,5,48,32,36,37,82,55,13,9
Blackburn with Darwen,E00063533,279,4,37,31,15,46,65,62,17,2
Blackburn with Darwen,E00063534,226,8,23,27,7,23,52,59,25,2
Blackburn with Darwen,E00063535,337,17,44,14,21,58,81,91,7,4
Blackburn with Darwen,E00063536,474,35,53,51,28,46,70,162,21,8
Blackburn with Darwen,E00063537,411,11,45,21,15,24,130,129,31,5
Blackburn with Darwen,E00063538,297,11,24,29,8,50,61,85,25,4
Blackburn with Darwen,E00063539,219,7,32,8,21,12,53,74,12,0
Blackburn with Darwen,E00063540,384,8,46,52,37,39,80,82,36,4
Blackburn with Darwen,E00063541,399,8,27,30,14,34,60,128,96,2
Blackburn with Darwen,E00063542,329,66,81,43,42,40,19,28,7,3
Blackburn with Darwen,E00063543,347,17,30,17,22,30,92,98,32,9
Blackburn with Darwen,E00063544,195,29,33,19,13,22,35,33,7,4
Blackburn with Darwen,E00063545,478,100,112,69,64,35,42,39,16,1
Blackburn with Darwen,E00063546,599,94,192,92,51,64,52,44,4,6
Blackburn with Darwen,E00063547,310,28,37,44,42,24,55,54,22,4
Blackburn with Darwen,E00063549,421,48,42,47,81,40,67,64,32,0
Blackburn with Darwen,E00063550,386,27,46,29,66,40,74,69,32,3
Blackburn with Darwen,E00063551,323,16,25,39,40,18,66,69,38,12
Blackburn with Darwen,E00063552,246,22,57,23,25,49,22,44,4,0
Blackburn with Darwen,E00063553,288,14,46,34,35,28,58,39,27,7
Blackburn with Darwen,E00063554,277,3,28,22,20,32,87,57,28,0
Blackburn with Darwen,E00063555,382,12,73,52,58,49,70,49,12,7
Blackburn with Darwen,E00063556,313,29,91,35,50,35,39,28,2,4
Blackburn with Darwen,E00063557,298,13,39,36,40,50,64,30,24,2
Blackburn with Darwen,E00063558,236,11,32,43,23,30,47,45,5,0
Blackburn with Darwen,E00063559,395,24,42,55,51,41,58,91,29,4
Blackburn with Darwen,E00063560,403,9,41,53,36,36,68,68,70,22
Blackburn with Darwen,E00063561,369,14,49,31,91,33,51,71,25,4
Blackburn with Darwen,E00063562,477,9,48,57,57,65,63,120,48,10
Blackburn with Darwen,E00063563,403,14,30,36,89,24,69,86,47,8
Blackburn with Darwen,E00063564,488,59,105,46,91,30,48,76,15,18
Blackburn with Darwen,E00063565,390,74,104,56,36,52,35,32,1,0
Blackburn with Darwen,E00063566,335,43,81,51,56,33,33,37,1,0
Blackburn with Darwen,E00063567,250,34,63,19,18,22,45,36,4,9
Blackburn with Darwen,E00063568,236,26,75,29,28,16,25,33,4,0
Blackburn with Darwen,E00063569,310,49,76,38,26,35,30,42,4,10
Blackburn with Darwen,E00063570,304,68,102,10,24,47,18,30,3,2
Blackburn with Darwen,E00063571,307,23,59,41,30,53,41,57,3,0
Blackburn with Darwen,E00063572,244,36,85,26,29,18,23,19,5,3
Blackburn with Darwen,E00063573,326,40,91,48,27,46,45,29,0,0
Blackburn with Darwen,E00063574,285,38,87,30,41,32,26,27,1,3
Blackburn with Darwen,E00063575,314,22,46,42,61,37,49,47,8,2
Blackburn with Darwen,E00063576,280,34,93,13,37,41,32,26,4,0
Blackburn with Darwen,E00063577,270,24,69,42,28,32,49,24,1,1
Blackburn with Darwen,E00063578,438,66,92,75,86,38,25,52,0,4
Blackburn with Darwen,E00063579,374,56,133,35,25,51,46,26,0,2
Blackburn with Darwen,E00063580,264,42,85,30,28,27,30,14,5,3
Blackburn with Darwen,E00063581,394,117,101,35,45,32,48,15,1,0
Blackburn with Darwen,E00063582,272,51,70,24,25,28,36,34,0,4
Blackburn with Darwen,E00063583,270,21,70,42,35,26,42,26,8,0
Blackburn with Darwen,E00063584,302,46,72,47,49,51,20,14,3,0
Blackburn with Darwen,E00063585,292,92,110,10,50,4,5,14,7,0
Blackburn with Darwen,E00063586,154,30,58,11,38,8,3,4,1,1
Blackburn with Darwen,E00063587,531,35,125,49,26,102,89,88,8,9
Blackburn with Darwen,E00063588,282,8,43,24,27,44,58,49,14,15
Blackburn with Darwen,E00063589,319,72,84,36,20,34,21,44,8,0
Blackburn with Darwen,E00063590,273,21,47,32,24,36,42,53,12,6
Blackburn with Darwen,E00063591,263,17,41,36,21,27,59,46,6,10
Blackburn with Darwen,E00063592,246,30,39,49,26,37,28,28,4,5
Blackburn with Darwen,E00063593,611,89,152,62,98,71,78,45,9,7
Blackburn with Darwen,E00063594,189,7,27,21,13,31,27,44,15,4
Blackburn with Darwen,E00063595,310,44,84,34,43,21,44,32,0,8
Blackburn with Darwen,E00063596,286,23,73,37,46,44,25,34,4,0
Blackburn with Darwen,E00063597,242,32,46,36,24,38,30,32,0,4
Blackburn with Darwen,E00063598,394,21,66,58,49,52,56,73,10,9
Blackburn with Darwen,E00063599,199,6,35,14,18,19,28,64,15,0
Blackburn with Darwen,E00063600,284,12,57,17,62,27,63,37,7,2
Blackburn with Darwen,E00063601,332,46,75,40,42,46,51,29,0,3
Blackburn with Darwen,E00063602,615,115,129,63,122,63,64,47,4,8
Blackburn with Darwen,E00063603,352,35,54,60,55,36,53,47,6,6
Blackburn with Darwen,E00063604,278,20,45,30,32,42,53,53,0,3
Blackburn with Darwen,E00063605,302,12,60,46,16,37,63,51,13,4
Blackburn with Darwen,E00063606,107,2,9,19,4,11,28,32,2,0
Blackburn with Darwen,E00063607,258,34,85,29,27,22,36,13,12,0
Blackburn with Darwen,E00063608,361,50,84,45,28,51,52,38,9,4
Blackburn with Darwen,E00063609,303,3,29,14,26,37,64,84,34,12
Blackburn with Darwen,E00063610,260,27,63,21,17,48,45,39,0,0
Blackburn with Darwen,E00063611,294,20,44,28,30,36,73,56,7,0
Blackburn with Darwen,E00063612,272,6,52,25,12,50,51,62,11,3
Blackburn with Darwen,E00063613,420,15,45,38,17,51,91,78,72,13
Blackburn with Darwen,E00063614,319,13,63,32,29,63,73,32,14,0
Blackburn with Darwen,E00063615,336,39,59,33,22,52,66,53,6,6
Blackburn with Darwen,E00063616,383,8,30,21,19,50,75,108,72,0
Blackburn with Darwen,E00063617,289,15,48,26,26,53,49,66,4,2
Blackburn with Darwen,E00063618,321,15,60,41,30,25,71,63,12,4
Blackburn with Darwen,E00063619,301,11,39,32,20,35,75,57,29,3
Blackburn with Darwen,E00063620,262,34,70,43,23,45,27,13,7,0
Blackburn with Darwen,E00063621,209,11,32,13,17,11,58,45,11,11
Blackburn with Darwen,E00063622,276,39,43,47,37,51,40,18,0,1
Blackburn with Darwen,E00063623,260,28,50,43,30,34,36,34,5,0
Blackburn with Darwen,E00063624,297,5,24,36,3,32,65,105,19,8
Blackburn with Darwen,E00063625,273,45,84,31,25,32,27,23,6,0
Blackburn with Darwen,E00063626,340,15,27,44,36,39,63,90,18,8
Blackburn with Darwen,E00063627,305,20,82,37,45,23,40,39,14,5
Blackburn with Darwen,E00063628,344,2,37,27,36,50,95,74,16,7
Blackburn with Darwen,E00063629,318,23,43,30,32,14,75,84,15,2
Blackburn with Darwen,E00063630,154,3,20,12,8,25,23,54,8,1
Blackburn with Darwen,E00063631,299,15,26,43,21,47,81,55,6,5
Blackburn with Darwen,E00063632,341,15,38,45,11,31,102,81,18,0
Blackburn with Darwen,E00063633,274,10,15,30,16,21,79,75,15,13
Blackburn with Darwen,E00063634,306,12,28,39,48,36,62,74,7,0
Blackburn with Darwen,E00063635,273,5,30,29,23,26,76,65,6,13
Blackburn with Darwen,E00063636,247,12,33,21,24,32,57,50,12,6
Blackburn with Darwen,E00063637,267,5,51,29,19,37,73,36,16,1
Blackburn with Darwen,E00063638,347,18,64,46,29,39,67,75,5,4
Blackburn with Darwen,E00063639,265,15,35,30,15,43,46,49,26,6
Blackburn with Darwen,E00063640,158,0,19,8,13,8,42,54,14,0
Blackburn with Darwen,E00063641,264,1,42,21,19,24,49,51,41,16
Blackburn with Darwen,E00063642,113,4,4,9,9,4,18,47,11,7
Blackburn with Darwen,E00063643,278,5,19,24,12,24,62,67,56,9
Blackburn with Darwen,E00063644,305,21,89,38,34,36,44,29,13,1
Blackburn with Darwen,E00063645,286,10,25,36,24,21,78,59,27,6
Blackburn with Darwen,E00063646,344,11,16,12,9,16,80,94,77,29
Blackburn with Darwen,E00063647,316,25,54,46,12,32,55,81,9,2
Blackburn with Darwen,E00063648,223,12,37,23,16,54,39,31,11,0
Blackburn with Darwen,E00063649,274,89,80,24,43,13,13,11,1,0
Blackburn with Darwen,E00063650,364,66,131,26,110,8,9,13,1,0
Blackburn with Darwen,E00063651,495,113,137,46,132,21,19,25,2,0
Blackburn with Darwen,E00063652,356,130,110,42,40,12,19,2,1,0
Blackburn with Darwen,E00063653,315,96,115,32,29,11,10,19,3,0
Blackburn with Darwen,E00063654,185,24,76,14,29,12,19,11,0,0
Blackburn with Darwen,E00063655,289,70,91,34,42,19,19,14,0,0
Blackburn with Darwen,E00063656,313,98,105,26,25,13,36,10,0,0
Blackburn with Darwen,E00063657,271,65,68,41,41,12,14,22,8,0
Blackburn with Darwen,E00063658,349,96,113,14,70,17,21,18,0,0
Blackburn with Darwen,E00063659,318,86,106,24,50,16,14,15,5,2
Blackburn with Darwen,E00063660,338,92,111,27,59,13,14,22,0,0
Blackburn with Darwen,E00063661,218,44,69,10,71,4,8,10,2,0
Blackburn with Darwen,E00063662,260,54,62,13,73,0,20,36,2,0
Blackburn with Darwen,E00063663,137,9,10,21,13,12,30,37,5,0
Blackburn with Darwen,E00063664,168,6,23,11,7,16,35,43,12,15
Blackburn with Darwen,E00063665,595,26,36,42,103,45,139,148,54,2
Blackburn with Darwen,E00063666,256,0,26,27,25,28,58,61,26,5
Blackburn with Darwen,E00063667,203,1,21,15,22,24,48,55,11,6
Blackburn with Darwen,E00063668,458,47,55,48,90,55,52,65,39,7
Blackburn with Darwen,E00063669,240,8,51,13,35,17,47,42,13,14
Blackburn with Darwen,E00063671,306,32,44,29,20,28,49,74,25,5
Blackburn with Darwen,E00063672,294,35,83,28,58,23,41,22,3,1
Blackburn with Darwen,E00063673,513,23,30,45,85,28,97,165,31,9
Blackburn with Darwen,E00063674,414,49,68,38,75,22,79,46,27,10
Blackburn with Darwen,E00063675,319,6,28,25,27,41,75,66,46,5
Blackburn with Darwen,E00063676,524,52,50,32,93,23,131,85,51,7
Blackburn with Darwen,E00063677,270,17,45,39,18,23,43,56,18,11
Blackburn with Darwen,E00063679,514,26,39,43,102,25,102,94,72,11
Blackburn with Darwen,E00063680,291,25,86,31,22,38,37,29,23,0
Blackburn with Darwen,E00063681,244,6,32,40,28,31,51,44,10,2
Blackburn with Darwen,E00063682,253,17,45,26,21,31,47,48,16,2
Blackburn with Darwen,E00063683,280,43,106,34,25,22,25,21,0,4
Blackburn with Darwen,E00063684,308,60,88,29,40,17,29,35,4,6
Blackburn with Darwen,E00063685,254,14,48,30,17,39,43,44,12,7
Blackburn with Darwen,E00063686,268,28,88,34,39,25,33,20,1,0
Blackburn with Darwen,E00063687,279,55,55,24,56,26,33,30,0,0
Blackburn with Darwen,E00063688,333,67,86,30,76,23,20,31,0,0
Blackburn with Darwen,E00063689,276,29,43,42,36,32,38,31,22,3
Blackburn with Darwen,E00063690,343,73,64,20,66,28,48,10,23,11
Blackburn with Darwen,E00063691,289,14,44,36,27,42,69,37,14,6
Blackburn with Darwen,E00063692,385,57,88,53,55,24,46,35,25,2
Blackburn with Darwen,E00063693,334,58,83,32,46,45,31,36,0,3
Blackburn with Darwen,E00063694,239,7,48,50,38,26,42,26,0,2
Blackburn with Darwen,E00063695,305,51,84,47,41,29,40,11,2,0
Blackburn with Darwen,E00063696,335,27,93,37,44,53,44,31,1,5
Blackburn with Darwen,E00063697,233,14,44,19,35,43,47,25,3,3
Blackburn with Darwen,E00063698,290,22,60,35,30,24,52,55,10,2
Blackburn with Darwen,E00063699,270,29,54,36,34,23,51,38,1,4
Blackburn with Darwen,E00063700,313,35,92,32,41,42,29,37,5,0
Blackburn with Darwen,E00063701,302,4,40,27,32,47,66,49,32,5
Blackburn with Darwen,E00063702,430,16,46,41,36,51,84,90,49,17
Blackburn with Darwen,E00063703,289,2,25,37,8,37,79,70,28,3
Blackburn with Darwen,E00063704,311,16,24,27,19,46,75,90,10,4
Blackburn with Darwen,E00063705,497,0,22,39,33,62,123,152,53,13
Blackburn with Darwen,E00063706,276,8,21,22,4,18,71,92,38,2
Blackburn with Darwen,E00063707,347,34,59,67,60,38,30,38,20,1
Blackburn with Darwen,E00063708,308,1,29,13,16,20,62,99,60,8
Blackburn with Darwen,E00063709,531,20,54,31,71,27,77,158,73,20
Blackburn with Darwen,E00063710,271,8,40,28,23,27,77,56,12,0
Blackburn with Darwen,E00063711,299,9,24,22,8,36,57,89,54,0
Blackburn with Darwen,E00063712,205,2,17,13,15,15,33,81,22,7
Blackburn with Darwen,E00063713,352,10,23,12,11,26,116,119,29,6
Blackburn with Darwen,E00063714,318,22,43,42,23,40,70,53,19,6
Blackburn with Darwen,E00063715,335,2,51,21,17,29,90,99,20,6
Blackburn with Darwen,E00063716,254,7,15,11,21,34,49,89,19,9
Blackburn with Darwen,E00063717,390,17,34,31,48,34,89,104,22,11
Blackburn with Darwen,E00063718,377,8,33,21,48,43,78,86,51,9
Blackburn with Darwen,E00063719,443,11,42,31,22,52,112,104,65,4
Blackburn with Darwen,E00063720,339,3,40,26,18,24,94,79,51,4
Blackburn with Darwen,E00063721,269,4,14,19,32,30,59,75,33,3
Blackburn with Darwen,E00063722,276,15,17,9,30,16,62,74,42,11
Blackburn with Darwen,E00063723,286,16,28,38,23,56,59,47,19,0
Blackburn with Darwen,E00063724,360,12,34,30,30,38,75,99,38,4
Blackburn with Darwen,E00063725,351,13,30,23,15,34,85,88,55,8
Blackburn with Darwen,E00063726,558,34,64,48,134,45,91,100,42,0
Blackburn with Darwen,E00063727,475,4,79,15,104,46,66,98,52,11
Blackburn with Darwen,E00063728,498,29,68,31,158,29,71,70,41,1
Blackburn with Darwen,E00063729,524,46,49,41,88,38,112,80,42,28
Blackburn with Darwen,E00063730,297,9,18,15,50,15,65,68,53,4
Blackburn with Darwen,E00063731,428,16,22,39,73,30,102,93,46,7
Blackburn with Darwen,E00063732,470,63,84,42,90,27,58,52,49,5
Blackburn with Darwen,E00063733,400,15,66,49,35,18,69,77,71,0
Blackburn with Darwen,E00063734,473,16,53,60,84,36,97,91,36,0
Blackburn with Darwen,E00063735,454,21,49,64,97,34,59,86,30,14
Blackburn with Darwen,E00063736,455,72,111,62,74,20,42,50,18,6
Blackburn with Darwen,E00063737,504,98,103,48,58,38,59,82,18,0
Blackburn with Darwen,E00063738,519,62,93,89,60,46,61,62,46,0
Blackburn with Darwen,E00063739,354,10,27,28,45,22,80,73,52,17
Blackburn with Darwen,E00063740,470,31,82,54,94,33,73,70,29,4
Blackburn with Darwen,E00063741,450,37,70,46,61,25,84,86,28,13
Blackburn with Darwen,E00063742,369,41,69,33,56,9,61,47,51,2
Blackburn with Darwen,E00063743,352,25,51,34,52,40,73,64,13,0
Blackburn with Darwen,E00063744,263,19,16,23,24,26,50,58,31,16
Blackburn with Darwen,E00063745,325,2,19,18,24,32,48,95,83,4
Blackburn with Darwen,E00063746,286,27,45,30,52,18,47,50,7,10
Blackburn with Darwen,E00063747,259,18,41,25,39,25,43,59,8,1
Blackburn with Darwen,E00063748,275,20,41,43,45,47,32,43,4,0
Blackburn with Darwen,E00063749,300,10,33,25,33,31,87,70,9,2
Blackburn with Darwen,E00063750,341,35,51,28,42,41,64,51,29,0
Blackburn with Darwen,E00063751,263,5,51,15,29,37,63,47,11,5
Blackburn with Darwen,E00063752,205,7,16,32,6,31,52,46,6,9
Blackburn with Darwen,E00063753,329,14,42,31,42,29,82,64,21,4
Blackburn with Darwen,E00063754,483,32,53,48,30,52,125,105,30,8
Blackburn with Darwen,E00063755,312,4,39,32,35,13,61,59,62,7
Blackburn with Darwen,E00063756,251,16,33,31,45,15,42,56,7,6
Blackburn with Darwen,E00063757,240,17,42,27,22,25,37,51,19,0
Blackburn with Darwen,E00063758,299,4,32,25,50,26,61,79,17,5
Blackburn with Darwen,E00063759,300,23,38,24,60,42,73,29,6,5
Blackburn with Darwen,E00063760,310,14,28,11,55,45,56,73,26,2
Blackburn with Darwen,E00063761,230,12,38,19,23,34,32,62,7,3
Blackburn with Darwen,E00063762,265,15,36,8,9,25,66,66,39,1
Blackburn with Darwen,E00063763,421,32,45,28,40,48,91,95,35,7
Blackburn with Darwen,E00063764,120,2,17,5,1,17,20,42,16,0
Blackburn with Darwen,E00063765,280,16,23,18,27,25,71,73,25,2
Blackburn with Darwen,E00063766,250,8,17,21,29,17,84,42,24,8
Blackburn with Darwen,E00063767,230,32,46,29,27,27,25,42,2,0
Blackburn with Darwen,E00063768,326,2,49,23,43,48,54,71,18,18
Blackburn with Darwen,E00063769,430,77,114,47,85,26,47,24,10,0
Blackburn with Darwen,E00063770,340,16,55,65,26,23,69,52,28,6
Blackburn with Darwen,E00063771,277,47,86,34,16,27,34,24,1,8
Blackburn with Darwen,E00063772,310,18,80,45,25,27,51,53,5,6
Blackburn with Darwen,E00063773,329,22,62,45,36,45,69,47,3,0
Blackburn with Darwen,E00063774,272,38,39,56,44,38,30,19,6,2
Blackburn with Darwen,E00063775,408,33,99,53,24,70,67,49,5,8
Blackburn with Darwen,E00063776,311,21,70,40,23,44,69,43,1,0
Blackburn with Darwen,E00063777,327,65,107,38,55,23,21,10,6,2
Blackburn with Darwen,E00063780,453,62,85,77,39,49,69,58,11,3
Blackburn with Darwen,E00063781,280,39,87,27,47,25,40,15,0,0
